,model,feature,sample,acc,prop
6,RFC,annual_inc,20000,83.75,44.9
7,RFC,annual_inc,20000,84.05,45.7
8,RFC,annual_inc,20000,84.05,46.1
9,RFC,annual_inc,20000,84.25,46.1
10,RFC,annual_inc,20000,84.15,46.2
0,GBC,annual_inc,20000,96.65,50.3
1,GBC,annual_inc,20000,96.7,50.24999999999999
2,GBC,annual_inc,20000,96.7,50.24999999999999
3,GBC,annual_inc,20000,96.7,50.24999999999999
4,GBC,annual_inc,20000,96.65,50.2
5,GBC,annual_inc,20000,96.65,50.2
6,GBC,annual_inc,20000,96.75,50.4
7,GBC,annual_inc,20000,96.75,50.4
8,GBC,annual_inc,20000,96.7,50.349999999999994
9,GBC,annual_inc,20000,96.7,50.349999999999994
10,GBC,annual_inc,20000,96.75,50.3
0,LR,annual_inc,20000,96.15,50.8
1,LR,annual_inc,20000,96.15,50.8
2,LR,annual_inc,20000,96.15,50.8
3,LR,annual_inc,20000,96.15,50.8
4,LR,annual_inc,20000,96.15,50.8
5,LR,annual_inc,20000,96.15,50.8
6,LR,annual_inc,20000,96.15,50.8
7,LR,annual_inc,20000,96.15,50.8
8,LR,annual_inc,20000,96.15,50.8
9,LR,annual_inc,20000,96.15,50.8
10,LR,annual_inc,20000,96.15,50.8
0,RFC,annual_inc,20001,82.0,43.95
1,RFC,annual_inc,20001,82.3,44.35
2,RFC,annual_inc,20001,81.8,45.050000000000004
3,RFC,annual_inc,20001,82.3,45.65
4,RFC,annual_inc,20001,82.89999999999999,46.25
5,RFC,annual_inc,20001,82.89999999999999,46.650000000000006
6,RFC,annual_inc,20001,82.45,47.199999999999996
7,RFC,annual_inc,20001,82.75,47.099999999999994
8,RFC,annual_inc,20001,83.15,47.9
9,RFC,annual_inc,20001,83.45,48.4
10,RFC,annual_inc,20001,83.55,48.5
0,GBC,annual_inc,20001,95.45,52.7
1,GBC,annual_inc,20001,95.5,52.75
2,GBC,annual_inc,20001,95.65,52.7
3,GBC,annual_inc,20001,95.45,52.6
4,GBC,annual_inc,20001,95.6,52.55
5,GBC,annual_inc,20001,95.55,52.7
6,GBC,annual_inc,20001,95.55,52.6
7,GBC,annual_inc,20001,95.45,52.800000000000004
8,GBC,annual_inc,20001,95.5,52.849999999999994
9,GBC,annual_inc,20001,95.39999999999999,52.849999999999994
10,GBC,annual_inc,20001,95.35,52.800000000000004
0,LR,annual_inc,20001,95.3,52.75
1,LR,annual_inc,20001,95.3,52.75
2,LR,annual_inc,20001,95.3,52.75
3,LR,annual_inc,20001,95.3,52.75
